Aika,Ahvenanmaa,Etelä-Karjalan SHP,Etelä-Pohjanmaan SHP,Etelä-Savon SHP,Helsingin ja Uudenmaan SHP,Itä-Savon SHP,Kaikki Alueet,Kainuun SHP,Kanta-Hämeen SHP,Keski-Pohjanmaan SHP,Keski-Suomen SHP,Kymenlaakson SHP,Lapin SHP,Länsi-Pohjan SHP,Pirkanmaan SHP,Pohjois-Karjalan SHP,Pohjois-Pohjanmaan SHP,Pohjois-Savon SHP,Päijät-Hämeen SHP,Satakunnan SHP,Vaasan SHP,Varsinais-Suomen SHP,Testausmäärä
2020-01-29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020-02-28,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2020-02-29,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2020-03-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51
2020-03-04,0,1,0,0,2,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,85
2020-03-05,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2020-03-06,0,0,0,0,3,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,105
2020-03-07,0,0,0,0,4,0,7,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,20
2020-03-08,0,0,0,0,2,0,9,0,1,0,3,0,0,0,1,1,0,0,0,0,0,1,14
2020-03-09,0,0,1,0,9,0,16,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,122
2020-03-10,0,0,1,0,25,0,54,0,1,0,2,0,0,0,5,0,17,0,0,0,0,3,128
2020-03-11,0,0,0,2,41,0,73,0,3,1,6,0,1,0,4,0,1,1,0,7,0,6,163
2020-03-12,0,0,2,0,32,0,57,0,2,1,2,1,0,0,3,0,7,0,1,3,0,3,349
2020-03-13,0,1,0,2,19,0,28,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,409
2020-03-14,0,0,1,1,14,0,26,0,3,0,1,0,0,0,2,0,2,0,0,0,1,1,586
2020-03-15,0,0,0,0,42,0,47,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,644
2020-03-16,0,0,0,0,37,0,47,0,0,0,2,0,1,0,1,0,2,0,0,0,3,1,812
2020-03-17,0,0,0,0,28,1,42,0,1,0,0,0,0,0,1,0,4,1,0,1,4,1,1117
2020-03-18,0,0,0,3,63,0,86,0,0,0,3,2,0,0,5,1,1,2,0,0,3,3,1015
2020-03-19,0,1,0,0,70,0,92,0,3,0,1,0,0,0,4,2,0,2,0,2,0,7,776
2020-03-20,2,1,0,0,49,0,81,0,1,0,4,2,0,0,10,0,2,2,1,1,0,6,1268
2020-03-21,0,1,0,1,64,0,82,0,0,0,1,0,0,2,5,1,1,1,3,1,0,1,1595
2020-03-22,2,0,1,1,59,0,77,0,1,1,2,2,0,0,2,0,2,0,0,2,1,1,1052
2020-03-23,1,2,1,1,39,0,82,0,0,0,3,1,0,1,10,0,1,6,8,0,0,8,1319
2020-03-24,0,1,3,1,53,0,97,0,2,0,3,0,2,0,11,0,2,4,7,0,2,6,1586
2020-03-25,2,0,1,1,49,1,99,0,0,0,13,1,1,0,12,0,2,5,3,1,1,6,1849
2020-03-26,0,0,0,5,52,0,104,1,0,1,3,0,4,2,13,2,3,4,1,2,3,8,1837
2020-03-27,0,0,1,3,46,0,89,1,1,0,1,1,3,0,8,2,9,3,3,2,1,4,2005
2020-03-28,0,0,0,5,50,0,74,2,2,0,0,1,3,1,4,0,1,2,1,1,0,1,1207
2020-03-29,0,0,0,0,38,0,58,0,3,0,7,2,0,0,1,0,3,2,1,1,0,0,583
2020-03-30,0,0,2,2,55,1,116,1,4,0,11,0,10,0,9,0,3,6,2,4,0,6,1081
2020-03-31,0,1,4,1,67,0,117,2,3,0,4,0,2,2,5,1,5,7,5,0,2,6,1085
2020-04-01,0,1,4,1,99,0,145,2,3,2,4,1,2,4,4,1,3,5,2,2,1,4,1567
2020-04-02,0,0,1,1,98,4,154,0,1,0,6,2,2,2,12,0,3,4,1,2,2,13,2234
2020-04-03,1,0,2,1,133,0,198,3,3,0,5,0,1,4,15,0,4,9,3,1,2,11,1667
2020-04-04,0,0,0,1,51,1,74,1,1,2,2,2,1,2,2,0,2,2,0,0,1,3,3206
2020-04-05,0,0,0,0,77,1,106,0,5,0,1,6,1,3,2,0,3,2,0,0,1,4,1626
2020-04-06,0,0,1,1,139,0,207,3,6,1,3,1,2,9,6,1,7,6,3,3,4,11,1928
2020-04-07,0,1,2,1,118,0,198,15,2,0,4,3,9,6,2,0,2,16,1,1,1,14,2079
2020-04-08,0,1,1,1,83,0,127,1,2,1,4,1,5,3,4,1,5,2,1,1,2,8,3260
2020-04-09,1,2,1,1,92,0,146,2,2,2,2,0,5,2,4,0,4,5,2,3,1,15,2406
2020-04-10,0,0,1,0,52,0,64,0,0,0,2,0,0,2,0,0,0,1,1,0,0,5,3222
2020-04-11,1,0,0,4,37,0,75,7,0,0,0,0,2,5,8,2,1,3,0,1,1,3,1302
2020-04-12,0,0,1,0,55,0,79,1,2,0,1,1,3,2,3,1,1,2,2,0,0,4,1575
2020-04-13,0,0,0,2,89,1,115,3,0,0,1,0,1,7,0,0,0,1,2,1,2,5,904
2020-04-14,0,0,2,0,120,0,171,0,1,0,3,2,0,5,1,3,6,4,4,2,0,18,1161
2020-04-15,0,0,0,0,99,0,126,2,1,0,3,1,1,2,2,0,1,1,3,1,2,7,2405
2020-04-16,0,0,0,1,92,0,120,0,1,0,0,0,2,3,3,2,0,3,2,2,1,8,3430
2020-04-17,0,0,2,0,96,0,123,0,1,0,0,0,3,5,2,0,0,0,2,0,1,11,2677
2020-04-18,0,0,0,0,49,0,55,0,1,0,0,0,0,1,1,0,1,0,0,0,0,2,3550
2020-04-19,0,0,0,0,49,0,63,0,2,0,2,0,0,3,2,0,0,1,1,1,0,2,2306
2020-04-20,0,0,0,0,112,0,146,1,3,0,2,1,0,8,5,0,3,2,2,0,0,7,1738
2020-04-21,0,0,0,0,90,0,112,2,3,0,0,0,0,6,3,1,3,0,1,0,1,2,3063
2020-04-22,1,0,0,0,102,0,122,2,0,0,2,0,0,3,3,0,1,1,1,1,1,4,3588
2020-04-23,0,0,0,0,90,0,103,2,1,0,1,1,0,2,1,0,0,0,1,1,0,3,3118
2020-04-24,0,0,0,0,51,0,61,1,0,0,0,0,0,5,2,0,0,0,0,0,0,2,2517
2020-04-25,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,751
